Daily Time,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Male,Country,Timestamp,Clicked on Ad
80.3,49,45632.51,113.8,Streamlined homogeneous analyzer,West Brandonton,0,Netherlands,04-04-2016 20:01,1
57.24,44,76435.3,190.17,Grass-roots impactful system engine,Hubbardmouth,0,Tonga,19-05-2016 14:30,1
40.04,23,46422.76,172.81,Re-engineered non-volatile neural-net,Hubbardmouth,0,Czech Republic,14-01-2016 14:00,0
41.73,31,59886.58,174.88,Team-oriented 6thgeneration extranet,Micheletown,1,Micronesia,16-06-2016 02:01,1
59.59,34,40183.75,168.34,Cloned explicit middleware,Kingshire,1,Namibia,27-02-2016 08:52,0
75.55,36,50628.31,115.26,Reverse-engineered well-modulated capability,Harrishaven,1,Korea,08-07-2016 03:47,0
59.51,40,69718.19,167.22,Cross-platform logistical pricing structure,Reyesfurt,0,Bolivia,08-05-2016 10:25,0
78.37,50,43974.49,123.13,Function-based context-sensitive secured line,Lake Susan,0,Malawi,03-06-2016 03:36,1
56.39,46,54286.1,193.29,Configurable tertiary capability,Lake Evantown,0,Belgium,17-06-2016 20:18,0
73.1,26,56694.12,131.68,Automated client-driven orchestration,Bradshawborough,0,Austria,03-07-2016 04:11,0
80.31,28,67301.39,217.37,Centralized logistical secured line,Hubbardmouth,0,Gabon,15-02-2016 16:52,0
80.47,33,49101.67,146.44,Synchronized multi-tasking ability,New Taylorburgh,1,Vanuatu,24-03-2016 06:36,0
81.75,33,39616,191.82,Synchronized multi-tasking ability,New Thomas,1,Vanuatu,24-03-2016 06:36,0
65.4,27,36884.23,239.32,Synergistic stable infrastructure,Laurieside,0,Ukraine,03-07-2016 04:11,0
75.84,25,50506.44,176.28,Digitized contextually-based product,West Aprilport,0,Gabon,08-07-2016 17:14,1
80.46,25,25686.34,234.26,Reactive composite project,Lake David,1,Bosnia and Herzegovina,11-03-2016 06:49,0
55.6,24,52252.91,182.2,Virtual scalable secured line,Garciaside,0,Kazakhstan,31-03-2016 20:55,0
56.39,29,69718.19,191.82,Synchronized multi-tasking ability,East Carlos,0,Cuba,10-06-2016 11:31,0
36.08,45,39132.64,140.83,Assimilated fault-tolerant hub,Kristinfurt,0,Micronesia,10-05-2016 17:13,1
67.56,29,53431.35,141.34,Configurable mission-critical algorithm,Christinetown,0,Uganda,03-02-2016 19:12,1
39.3,29,53431.35,141.34,Centralized 24hour synergy,Lake Kurtmouth,0,Hungary,21-04-2016 16:10,1
53.92,28,59448.44,120.49,Organized global flexibility,New Brandy,1,Luxembourg,23-01-2016 17:39,0
53.68,37,23936.86,140.15,Cloned object-oriented benchmark,Westshire,0,Moldova,08-05-2016 22:24,1
81.75,52,73049.3,195.69,Programmable uniform website,Penatown,1,Australia,05-01-2016 16:26,1
83.71,42,43241.19,129.8,Face-to-face mission-critical definition,Hubbardmouth,1,Czech Republic,06-07-2016 12:04,1
89,41,50628.31,126.39,Realigned next generation projection,East Maureen,1,Madagascar,27-04-2016 04:28,0
80.99,26,68030.18,150.83,Persistent even-keeled application,East Kevinbury,1,Andorra,11-03-2016 06:49,0
52.68,35,73889.99,221.18,Total cohesive moratorium,Port Melissaberg,1,Tunisia,26-01-2016 02:47,1
78.7,36,76003.47,140.46,Integrated human-resource encoding,North Randy,0,Fiji,17-02-2016 20:22,1
66.08,33,39616,120.75,Multi-tiered foreground Graphic Interface,Silvaton,0,Indonesia,12-05-2016 21:32,0
51.24,36,32549.95,115.26,Ameliorated actuating workforce,Hatfieldshire,1,Kazakhstan,20-06-2016 08:22,0
65.4,29,72203.96,198.5,Managed client-server access,Garciaview,1,Ireland,09-03-2016 14:57,0
86.06,32,55424.24,178.92,Business-focused transitional solution,Lisafort,1,Svalbard & Jan Mayen Islands,09-01-2016 03:45,0
80.3,29,53058.91,122.02,Self-enabling local strategy,West Brandonton,0,Australia,16-03-2016 20:19,1
59.51,40,61275.18,120.37,Synchronized systemic hierarchy,Reyesfurt,0,Qatar,08-05-2016 10:25,0
51.24,32,42995.8,219.94,Profound maximized workforce,Hernandezside,0,Serbia,09-06-2016 21:43,1
84.98,32,57691.95,178.92,Business-focused transitional solution,Lisafort,1,Latvia,09-06-2016 21:43,0
60.23,26,57179.91,198.3,Decentralized client-driven data-warehouse,Shelbyport,1,Turkey,03-04-2016 21:13,1
44.4,32,55424.24,233.04,Profound maximized workforce,Lake Matthewland,0,Fiji,07-05-2016 17:11,1
55.6,30,58677.69,184.88,Realigned content-based leverage,Jamesberg,1,Bolivia,18-03-2016 13:00,0
71.28,24,65120.86,167.22,Front-line bandwidth-monitored capacity,Johnstad,0,Cameroon,15-03-2016 20:19,0
76.06,28,71222.4,217.37,Profit-focused attitude-oriented task-force,Westshire,0,Australia,08-05-2016 22:24,1
66.08,33,46868.53,113.12,Adaptive contextually-based methodology,South George,1,Vanuatu,24-03-2016 06:36,0
80.03,44,39840.55,220.48,Reverse-engineered context-sensitive emulation,New Travistown,0,El Salvador,20-02-2016 00:06,1
56.39,46,54286.1,193.29,Automated multi-state toolset,Lake Evantown,0,Belgium,06-04-2016 14:16,1
59.64,31,59886.58,207.17,Optional full-range projection,West Angelabury,1,Singapore,16-06-2016 02:01,0
42.39,31,58966.22,204.79,Automated mobile model,New Michael,0,Venezuela,03-01-2016 07:13,0
84.73,26,60575.99,198.3,Enterprise-wide tangible model,East Kevinbury,1,Italy,14-01-2016 16:30,0
48.03,40,41232.89,167.22,Fully-configurable incremental Graphical User Interface,Port Katelynview,0,Latvia,02-01-2016 09:30,1
55.6,35,42993.48,236.87,Optional multi-state hardware,West Wendyland,0,Lao People's Democratic Republic,11-06-2016 06:47,0
41.73,28,71222.4,221.94,Inverse local hub,Jamiefort,0,Venezuela,06-05-2016 21:07,0
80.3,49,45632.51,168.34,Streamlined homogeneous analyzer,West Brandonton,0,Eritrea,05-02-2016 16:50,1
80.47,38,64564.07,130.83,Synergized clear-thinking protocol,Stewartbury,1,Finland,22-04-2016 02:07,1
76.81,28,56729.78,217.37,Organized global flexibility,New Brandy,1,Luxembourg,05-01-2016 16:26,0
56.16,40,57330.43,117.3,User-centric attitude-oriented adapter,Lake Danielle,0,Uganda,04-03-2016 08:48,1
82.07,22,51920.49,136.21,Function-based context-sensitive secured line,Burgessside,0,Afghanistan,03-02-2016 23:47,1
60.7,49,45632.51,168.34,Streamlined homogeneous analyzer,West Brandonton,0,Netherlands,04-04-2016 20:01,1
66.08,46,33951.63,231.95,Proactive actuating Graphical User Interface,Richardsonshire,1,Switzerland,10-03-2016 23:36,1
80.3,49,45632.51,113.8,Streamlined homogeneous analyzer,West Brandonton,0,Netherlands,04-04-2016 20:01,1
55.6,24,52252.91,182.2,Up-sized 6thgeneration moratorium,West James,0,Algeria,03-03-2016 22:31,0
82.07,38,51920.49,251,Virtual bandwidth-monitored initiative,Stewartbury,0,Lao People's Democratic Republic,19-07-2016 12:05,1
66.08,33,42995.8,137.43,Extended context-sensitive monitoring,New Thomas,1,Vanuatu,24-03-2016 06:36,0
49.21,52,49101.67,130.86,Synergistic stable infrastructure,South Jaimeview,0,Cuba,07-01-2016 23:02,1
44.4,30,57877.15,244.91,Cross-platform logistical pricing structure,South Adamhaven,1,Bolivia,13-04-2016 13:04,0
83.71,42,60514.05,238.58,Innovative interactive portal,Lake Jennifer,0,Czech Republic,06-04-2016 11:24,1
40.04,49,45632.51,168.34,Up-sized bi-directional infrastructure,West Brandonton,0,Eritrea,11-03-2016 00:05,0
71.84,39,37334.78,124.44,Customer-focused incremental system engine,Lake David,0,American Samoa,08-07-2016 17:14,0
70.09,33,66291.67,203.9,Profound well-modulated array,New Taylorburgh,1,Vanuatu,03-02-2016 15:15,0
45.01,26,42760.22,194.62,Digitized content-based circuit,West Aprilport,0,Cameroon,15-05-2016 13:18,0
80.47,38,64564.07,131.55,Realigned next generation projection,Stewartbury,1,Tokelau,14-03-2016 14:13,1
51.87,49,45632.51,195.69,Streamlined homogeneous analyzer,West Brandonton,0,Netherlands,04-04-2016 20:01,1
57.24,33,57868.44,178.75,Focused coherent success,Wilcoxport,1,Iran,16-06-2016 03:17,1
88.04,42,58953.01,236.87,Innovative interactive portal,Hubbardmouth,0,Czech Republic,06-04-2016 11:24,1
82.07,22,31215.88,121.07,Distributed leadingedge orchestration,West Katiefurt,0,Austria,03-07-2016 04:11,0
83.71,44,74180.05,218.22,Multi-lateral attitude-oriented adapter,Stewartbury,1,Tonga,13-06-2016 22:41,1
51.87,19,58235.21,195.69,Managed client-server access,Mataberg,1,Eritrea,05-01-2016 16:26,1
51.24,36,59240.24,222.25,Up-sized incremental encryption,West James,0,Ukraine,26-02-2016 19:48,0
81.75,49,45632.51,168.34,Streamlined homogeneous analyzer,West Brandonton,0,Eritrea,02-03-2016 04:57,1
82.7,45,31092.93,138.71,Enhanced homogeneous moderator,Wintersfort,1,Micronesia,16-06-2016 02:01,1
57.99,49,45632.51,113.8,Streamlined homogeneous analyzer,West Brandonton,0,Netherlands,04-04-2016 20:01,1
40.04,23,61617.98,172.81,Team-oriented executive core,Hubbardmouth,1,United States Virgin Islands,09-03-2016 03:41,0
51.24,36,32549.95,115.26,Proactive bandwidth-monitored policy,North Ricardotown,1,Liechtenstein,25-06-2016 18:17,0
55.79,44,53817.02,131.76,Persistent homogeneous framework,New Timothy,1,United Arab Emirates,20-06-2016 06:30,0
42.94,37,47575.44,214.42,Digitized content-based circuit,Garciatown,0,Senegal,12-06-2016 21:21,0
61.22,45,59886.58,174.88,Secured 24hour policy,Harmonhaven,0,Taiwan,05-03-2016 12:03,1
60.72,28,71222.4,217.37,Centralized logistical secured line,Reyesfurt,0,Croatia,29-02-2016 23:56,0
39.96,26,74903.41,228.78,Visionary asymmetric encryption,East Kevinbury,1,Albania,01-01-2016 15:14,1
80.3,49,45632.51,113.8,Streamlined homogeneous analyzer,West Brandonton,0,Netherlands,04-04-2016 20:01,1
40.04,34,50439.49,168.34,Cloned explicit middleware,Millerbury,1,French Southern Territories,04-03-2016 10:13,1
56.16,30,42696.67,244.91,Managed 6thgeneration hierarchy,Charlenetown,1,Bolivia,08-05-2016 10:25,0
79.52,25,50506.44,140.46,Multi-layered fresh-thinking neural-net,West Aprilport,0,Hong Kong,03-01-2016 07:13,0
76.87,31,56180.93,207.17,De-engineered tertiary secured line,Port Calvintown,0,Singapore,21-06-2016 14:32,0
59.05,48,40183.75,212.38,Secured intermediate approach,Combsstad,1,Northern Mariana Islands,17-07-2016 01:13,1
59.59,55,57868.44,187.76,Inverse high-level capability,Hubbardmouth,0,Tonga,19-05-2016 14:30,1
88.04,48,62784.85,123.13,Integrated coherent pricing structure,Burgessside,0,Tonga,17-07-2016 01:13,1
62.42,40,27086.4,195.69,Profit-focused attitude-oriented task-force,West Angelabury,1,Ethiopia,11-02-2016 16:45,1
41.67,25,50506.44,140.46,Multi-layered fresh-thinking neural-net,West Aprilport,0,Hong Kong,03-01-2016 07:13,0
60.53,22,63363.04,121.07,Customizable modular Internet solution,Garciatown,0,Austria,05-01-2016 12:59,0
59.59,33,43974.49,196.77,Focused coherent success,Silvaton,0,Myanmar,16-01-2016 23:37,1
86.06,35,54429.17,182.2,Advanced modular Local Area Network,Wrightburgh,0,Ukraine,18-07-2016 01:36,0
56.39,46,40468.53,200.71,Configurable tertiary capability,East Tiffanyport,0,Czech Republic,28-02-2016 23:10,1
67.8,45,74903.41,137.24,Enhanced homogeneous moderator,Wintersfort,1,Bosnia and Herzegovina,05-03-2016 12:03,1
59.59,34,59785.94,224.44,Team-oriented transitional methodology,West Barbara,0,Brunei Darussalam,20-02-2016 09:54,1
72.45,29,69718.19,190.41,Assimilated fault-tolerant hub,Port Katelynview,0,Senegal,03-02-2016 19:12,1
37.45,28,61840.26,207.17,Optimized intermediate help-desk,Amandahaven,1,American Samoa,08-07-2016 03:47,0
56.16,40,53647.81,244.23,Visionary mission-critical application,Port Jeffrey,0,Bangladesh,01-06-2016 12:27,0
78.64,31,56180.93,207.17,Realigned tangible collaboration,Robertbury,0,Madagascar,01-02-2016 00:52,0
59.51,32,55424.24,172.83,Focused upward-trending core,Lisafort,0,Venezuela,28-04-2016 22:54,0
40.47,29,56113.37,208.05,Advanced modular Local Area Network,Wrightburgh,0,Burundi,19-06-2016 22:08,0
74.54,41,57846.68,187.76,Down-sized background groupware,West Lisa,1,Turkey,31-05-2016 23:42,1
49.21,46,54286.1,229.12,Configurable tertiary capability,Richardsonshire,0,Australia,15-04-2016 15:07,1
51.87,37,39031.89,218.61,Managed client-server access,West Brandonton,1,Australia,04-04-2016 20:01,1
80.3,49,45632.51,113.8,Streamlined homogeneous analyzer,West Brandonton,0,Netherlands,04-04-2016 20:01,1
57.99,34,20592.99,222.72,Cloned explicit middleware,New Thomas,1,Namibia,08-02-2016 14:02,0
47.64,19,45632.51,195.69,Streamlined homogeneous analyzer,West Brandonton,0,Netherlands,04-04-2016 20:01,1
57.24,33,49101.67,222.75,Compatible composite project,Novaktown,1,Vanuatu,14-07-2016 22:43,1
55.6,35,59457.52,236.87,Optional multi-state hardware,Wrightburgh,0,Niger,02-07-2016 20:23,0
40.01,31,56180.93,183.85,Balanced empowering success,West Angelabury,1,Hong Kong,14-01-2016 16:30,0
36.08,38,51920.49,145.96,Robust uniform framework,Millerview,0,Lao People's Democratic Republic,15-01-2016 19:40,1
55.6,35,73889.99,209.91,Optional multi-state hardware,Williamsport,1,Liechtenstein,18-03-2016 13:22,1
56.39,40,73882.91,229.12,Synergized coherent interface,Brianabury,1,Switzerland,10-04-2016 03:30,0
40.01,45,50671.6,174.88,Assimilated fault-tolerant hub,Kristinfurt,0,Micronesia,11-02-2016 04:37,1
59.59,48,65956.71,123.13,Integrated coherent pricing structure,Burgessside,0,Kenya,15-01-2016 22:49,1
50.19,32,55424.24,178.92,Business-focused transitional solution,Lisafort,1,Zimbabwe,09-01-2016 03:45,0
37,35,42696.67,226.54,Proactive bandwidth-monitored policy,South Adamhaven,1,Guernsey,04-07-2016 11:03,0
65.07,34,59785.94,160.03,Cloned explicit middleware,Hawkinsbury,0,Turkmenistan,11-03-2016 00:05,0
62.26,32,57691.95,178.92,Business-focused transitional solution,Lisafort,1,Latvia,09-06-2016 21:43,0
60.23,44,44174.25,176.98,Optimized upward-trending productivity,Yangside,0,Sri Lanka,21-07-2016 10:54,1
55.6,24,52252.91,182.2,Horizontal client-server database,Lisafort,0,Algeria,31-01-2016 05:12,0
73.1,26,70203.74,222.35,Optional secondary access,Lake Jacqueline,0,Senegal,23-01-2016 13:14,0
51.24,36,53817.02,140.46,Multi-layered user-facing paradigm,North Laurenview,0,Kyrgyz Republic,13-04-2016 13:04,0
56.39,46,54286.1,153.69,Automated stable help-desk,Brownbury,0,Estonia,20-02-2016 09:54,0
51.87,40,57519.64,167.22,Vision-oriented attitude-oriented Internet solution,Williamsport,0,Myanmar,03-05-2016 01:09,0
61.22,25,50506.44,176.28,Multi-layered fresh-thinking neural-net,West Aprilport,0,Serbia,03-01-2016 07:13,0
75.15,46,63430.33,191.82,Proactive actuating Graphical User Interface,New Taylorburgh,1,Niger,17-06-2016 20:18,0
35.66,36,29398.61,140.46,Up-sized incremental encryption,West Gregburgh,0,Hong Kong,12-01-2016 03:28,0
51.56,35,56113.37,236.87,Advanced modular Local Area Network,Wrightburgh,0,Papua New Guinea,18-07-2016 01:36,0
49.21,25,42251.59,241.03,Face-to-face analyzing encryption,Gilbertville,0,Faroe Islands,24-04-2016 07:20,0
89.05,42,57868.44,188.56,Face-to-face mission-critical definition,Stewartbury,1,United Kingdom,06-04-2016 11:24,1
81.22,41,57846.68,137.24,Down-sized background groupware,West Sydney,0,Bulgaria,20-02-2016 00:06,1
77.88,51,39616,178.92,Business-focused transitional solution,Edwardmouth,1,Malta,24-03-2016 06:36,1
61.22,31,52011,212.87,Multi-layered fresh-thinking neural-net,East Kevinbury,0,Lebanon,21-06-2016 14:32,0
60.72,42,60514.05,238.58,Innovative interactive portal,Lake Jennifer,0,Czech Republic,06-04-2016 11:24,1
75.55,25,55121.65,140.46,Multi-layered fresh-thinking neural-net,Vanessaview,0,Madagascar,15-05-2016 13:18,0
40.01,44,57846.68,227.63,Reactive demand-driven strategy,Lindaside,0,Bulgaria,20-02-2016 00:06,1
46.61,44,57846.68,137.24,Reactive demand-driven strategy,North Kimberly,0,Bangladesh,04-04-2016 18:36,1
76.58,33,56782.18,227.37,Synchronized multi-tasking ability,Silvaton,0,Greece,12-05-2016 21:32,1
55.6,24,52252.91,182.2,Pre-emptive cohesive budgetary management,West Ricardo,0,Poland,18-06-2016 17:56,1
60.53,34,59785.94,203.44,Cloned explicit middleware,New Tinamouth,0,Brunei Darussalam,27-04-2016 04:28,1
46.31,42,40183.75,168.34,Cloned explicit middleware,East Connie,1,Namibia,11-03-2016 00:05,0
41.73,49,40763.13,195.69,Advanced 24/7 productivity,West Brandonton,1,Australia,04-04-2016 20:01,1
55.6,35,58677.69,225.58,User-centric intangible contingency,Wrightburgh,0,Qatar,11-06-2016 06:47,0
80.3,49,40763.13,195.69,Streamlined homogeneous analyzer,West Brandonton,1,Australia,22-03-2016 06:41,1
51.87,24,65120.86,182.2,Front-line bandwidth-monitored capacity,Whiteport,1,Somalia,12-07-2016 10:56,0
59.59,34,59785.94,107.56,Vision-oriented optimizing middleware,New Tinamouth,0,Cote d'Ivoire,27-04-2016 04:28,1
81.22,41,57846.68,126.39,Face-to-face even-keeled website,West Lisa,0,Micronesia,31-05-2016 23:42,1
46.61,44,64011.26,176.98,Profit-focused secondary portal,Port Katelynview,0,Bulgaria,09-05-2016 21:54,1
51.87,46,58966.22,218.61,Proactive actuating Graphical User Interface,Richardsonshire,1,Australia,09-02-2016 05:28,1
55.6,36,59240.24,255.61,Total cohesive moratorium,West Melaniefurt,1,Kazakhstan,12-07-2016 10:56,0
82.79,35,25603.93,109.07,Decentralized attitude-oriented interface,Youngfort,0,Albania,01-07-2016 01:12,1
47.64,29,61172.07,216.49,Digitized content-based circuit,Christinetown,0,Burundi,16-01-2016 16:40,0
67.26,42,57868.44,114.69,Innovative interactive portal,Stewartbury,1,Czech Republic,06-04-2016 11:24,1
39.96,45,31092.93,138.71,Enhanced homogeneous moderator,Wintersfort,1,Bosnia and Herzegovina,05-03-2016 12:03,1
34.3,34,34191.23,160.03,Cloned explicit middleware,Randolphport,1,Namibia,27-02-2016 08:52,1
54.37,29,57545.56,249.45,Mandatory coherent groupware,Christinetown,0,Cameroon,17-04-2016 21:39,0
59.22,36,29398.61,140.46,Face-to-face analyzing encryption,Youngfort,0,Guinea,13-04-2016 13:04,0
65.65,30,50671.6,240.95,Synchronized systemic hierarchy,Lake Jessicaville,0,Guinea,29-06-2016 10:50,0
78.84,27,36884.23,239.32,Assimilated encompassing portal,North Brandon,0,Ukraine,03-07-2016 04:11,0
65.59,37,67132.46,140.15,Seamless composite budgetary management,Jordantown,0,Australia,17-06-2016 23:19,1
65.77,34,40183.75,204.22,Cloned explicit middleware,New Tinamouth,1,Namibia,27-02-2016 08:52,1
51.24,36,76003.47,140.46,Versatile transitional monitoring,North Randy,0,Kyrgyz Republic,03-01-2016 16:01,0
56.39,46,54286.1,193.29,Configurable tertiary capability,Lake Evantown,0,Belgium,28-02-2016 23:10,1
77.14,52,33951.63,226.49,Synchronized multi-tasking ability,South Jaimeview,0,Cayman Islands,16-06-2016 02:01,1
60.23,26,61009.1,136.4,Fully-configurable neutral open system,Shelbyport,1,Turkey,03-04-2016 21:13,1
55.6,30,58677.69,184.88,Synchronized systemic hierarchy,South Adamhaven,0,Algeria,03-05-2016 01:09,0
41.73,31,61840.26,207.17,Profound executive flexibility,New Michael,1,Singapore,08-02-2016 14:02,0
59.05,48,73538.09,123.13,Function-based context-sensitive secured line,Port Michaelmouth,1,Northern Mariana Islands,17-07-2016 01:13,1
55.6,24,61601.05,202.61,Secured upward-trending benchmark,West Pamela,1,Algeria,08-05-2016 10:25,0
41.73,31,59610.81,131.29,Intuitive radical forecast,Micheletown,1,Maldives,05-03-2016 12:03,1
80.31,31,27262.51,207.17,Sharable reciprocal project,Dustinchester,0,Czech Republic,21-06-2016 14:32,1
89,51,57868.44,117.3,Profit-focused systemic support,East Graceland,0,El Salvador,01-07-2016 01:12,1
60.23,51,74535.94,188.56,Extended context-sensitive monitoring,Brendachester,1,Malta,13-07-2016 01:48,1
56.34,40,70410.11,184.23,De-engineered solution-oriented open architecture,Holderville,1,Ethiopia,22-04-2016 00:28,1
65.56,46,58966.22,229.12,Configurable tertiary capability,Richardsonshire,0,Belgium,29-06-2016 02:43,1
34.3,34,60637.62,140.67,Team-oriented transitional methodology,New Joshuaport,1,Equatorial Guinea,18-06-2016 22:31,1
65.59,28,73207.15,258.62,Intuitive exuding service-desk,Westshire,0,Uruguay,08-05-2016 22:24,1
41.73,28,61840.26,221.94,Synchronized user-facing core,Port Kathleenfort,1,Luxembourg,05-01-2016 16:26,0
82.07,55,62784.85,187.76,Polarized tangible collaboration,West Dennis,0,Brazil,15-01-2016 22:49,1
37.45,31,59448.44,130.86,Customer-focused incremental system engine,South Henry,0,American Samoa,10-06-2016 10:11,1
41.73,28,71222.4,172.81,Inverse local hub,Reyesfurt,0,Croatia,04-05-2016 12:06,0
78.53,29,53431.35,123.51,User-centric intermediate knowledge user,Christinetown,0,Uganda,17-04-2016 21:39,1
51.87,40,51067.54,258.62,Devolved human-resource circuit,West Brandonton,0,Uganda,13-07-2016 07:41,1
56.16,29,53431.35,158.56,Inverse discrete extranet,Christinetown,0,Egypt,14-01-2016 00:23,1
80.15,49,57868.44,158.42,Reactive composite project,West Lisa,1,Tanzania,24-06-2016 08:42,1
68.88,42,60514.05,238.58,Innovative interactive portal,West Amanda,0,Czech Republic,06-04-2016 11:24,1
61.22,45,59610.81,174.88,Enhanced homogeneous moderator,Davidside,1,Bosnia and Herzegovina,05-03-2016 12:03,1
78.36,50,43974.49,123.13,Function-based context-sensitive secured line,Gilbertville,1,Turkey,18-06-2016 22:31,1
49.21,53,54324.73,172.83,Seamless optimal contingency,Robertsonburgh,1,Latvia,17-02-2016 13:16,1
55.6,24,52252.91,182.2,Focused upward-trending core,West James,0,Senegal,26-02-2016 19:48,0
79.52,45,46197.59,124.67,De-engineered actuating hierarchy,Wintersfort,0,Taiwan,05-03-2016 12:03,1
47.74,33,39616,191.82,Compatible composite project,Taylorhaven,1,Australia,06-02-2016 17:48,1
36.56,52,33951.63,130.86,Programmable uniform website,Penatown,1,Australia,16-06-2016 02:01,1
65.56,52,33951.63,235.35,Seamless optimal contingency,Silvaton,0,Cayman Islands,07-01-2016 23:02,1
78.7,51,57868.44,204.27,Focused coherent success,Yangside,0,Bahamas,21-07-2016 10:54,1
84.98,26,31265.75,154.74,Focused 24hour implementation,Joneston,1,Georgia,18-03-2016 13:00,0
89.05,41,50628.31,126.39,Synergistic reciprocal attitude,New Tina,1,Australia,13-05-2016 11:57,1
67.56,39,53012.94,162.08,Intuitive exuding service-desk,Westshire,0,Senegal,08-01-2016 09:32,1
55.6,39,48335.2,124.44,Intuitive exuding service-desk,Garciatown,0,Qatar,08-05-2016 22:24,0
43.49,37,32252.38,217.37,Cross-group non-volatile secured line,New Brandy,1,Luxembourg,21-07-2016 10:01,0
39.36,33,34191.23,140.67,Team-oriented transitional methodology,West Barbara,1,Equatorial Guinea,05-04-2016 18:02,1
79.54,45,31092.93,137.24,Enhanced homogeneous moderator,Wintersfort,1,Bosnia and Herzegovina,16-06-2016 02:01,1
68.88,42,57868.44,118.45,Right-sized mobile initiative,Lake Jennifer,0,Czech Republic,19-05-2016 14:30,1
49.21,30,54324.73,240.95,Total 5thgeneration standardization,New Travistown,0,Bolivia,21-07-2016 10:54,1
55.6,39,48335.2,140.46,Fully-configurable incremental Graphical User Interface,Garciaside,0,Liechtenstein,03-01-2016 16:01,1
35.61,29,61172.07,196.61,Managed client-server access,Evansfurt,1,Luxembourg,26-01-2016 02:47,0
49.21,27,65227.79,193.29,Configurable tertiary capability,North Sarashire,0,Switzerland,17-06-2016 20:18,1
59.59,22,63363.04,121.07,Customizable modular Internet solution,Combsstad,1,Cyprus,03-07-2016 04:11,0
78.7,32,70492.6,219.94,Universal bi-directional extranet,Lake Matthewland,0,Serbia,07-03-2016 01:40,1
65.77,42,60514.05,236.87,Multi-layered tangible portal,Dustinchester,0,Czech Republic,01-05-2016 23:21,0
37,30,57877.15,172.83,Total 5thgeneration standardization,Kristinfurt,0,Qatar,29-06-2016 10:50,0
35.61,37,23936.86,253.17,Synchronized leadingedge help-desk,Lake James,0,Gabon,08-01-2016 22:47,0
39.96,25,50671.6,241.03,Synergized intangible open system,Lake David,1,Georgia,07-04-2016 15:18,0
52.68,39,65953.76,141.89,Enterprise-wide tangible model,Jacquelineshire,1,Bahrain,07-04-2016 15:18,0
86.06,35,53898.89,119.2,Total cohesive moratorium,Williamsport,1,French Southern Territories,18-03-2016 13:22,1
71.33,39,37334.78,140.46,Networked impactful framework,Lake Kurtmouth,0,Fiji,29-06-2016 02:48,1
71.84,42,78520.99,143.13,Robust logistical utilization,Hubbardmouth,1,Hong Kong,13-05-2016 11:57,1
41.73,28,71222.4,221.94,Front-line zero-defect array,Garciamouth,0,Venezuela,30-05-2016 18:08,0
38.37,27,61608.23,141.52,Monitored dynamic instruction set,North Randy,0,Guinea,28-05-2016 12:38,1
79.54,32,31265.75,247.01,Focused systemic benchmark,North Daniel,1,Saudi Arabia,19-07-2016 12:05,1
78.79,36,50628.31,115.26,Organized upward-trending contingency,Destinyfurt,1,Indonesia,27-02-2016 12:34,0
40.04,34,20592.99,160.03,Cloned explicit middleware,New Tinamouth,0,Brunei Darussalam,11-03-2016 00:05,0
82.07,41,57846.68,244.23,Robust uniform framework,Bradleyside,0,Norway,24-03-2016 09:34,1
59.05,50,43974.49,123.13,Realigned content-based leverage,Burgessside,0,Malawi,04-04-2016 07:07,1
71.33,35,42993.48,221.18,Optional multi-state hardware,Wrightburgh,1,Myanmar,26-01-2016 02:47,0
81.75,29,69646.35,200.71,Programmable uniform website,Carterburgh,0,Israel,12-06-2016 21:21,0
37.87,51,60575.99,212.3,Focused coherent success,Lake Jessicaville,1,Palestinian Territory,11-02-2016 16:45,1
53.92,28,67301.39,120.49,Organized global flexibility,Markhaven,1,Luxembourg,19-05-2016 11:16,0
56.64,25,50506.44,233.85,Digitized content-based circuit,Pearsonfort,0,United States Minor Outlying Islands,08-07-2016 17:14,0
55.6,24,52252.91,167.22,Fully-configurable incremental Graphical User Interface,West Ricardo,0,Poland,12-02-2016 08:46,1
73.89,28,71222.4,204.79,Intuitive exuding service-desk,Reyesfurt,0,American Samoa,29-02-2016 23:56,0
84.71,25,77567.85,241.03,Integrated interactive support,Lake David,1,Korea,11-03-2016 06:49,0
59.59,34,59785.94,160.03,Function-based incremental standardization,New Tinamouth,0,Brunei Darussalam,27-02-2016 08:52,0
80.71,29,61172.07,216.49,Front-line dynamic model,Joshuaburgh,1,Senegal,03-05-2016 16:02,0
54.88,51,74535.94,130.41,Managed well-modulated collaboration,Reyesfurt,0,Congo,31-01-2016 05:12,1
32.6,33,41547.62,206.79,Diverse modular interface,New Taylorburgh,1,Niger,09-02-2016 05:28,0
55.6,54,53188.69,230.18,Total cohesive moratorium,Olsonstad,1,Somalia,31-03-2016 20:55,1
75.84,23,55121.65,217.37,Inverse local hub,Reyesfurt,0,Ireland,08-02-2016 07:33,0
55.6,35,73889.99,221.18,Secured secondary superstructure,Wrightburgh,1,Myanmar,26-01-2016 02:47,0
47.64,29,69646.35,200.71,Grass-roots mission-critical emulation,Wilsonburgh,0,Senegal,03-05-2016 16:02,0
37,32,55424.24,178.92,Business-focused transitional solution,Lisafort,1,Taiwan,09-01-2016 03:45,0
